method,objective,mean_pi,mean_final_gap,n
boot_cold,makespan,0.03381295700617825,0.014301990950360123,112
boot_warm,makespan,0.03395008302467063,0.01420184288876068,112
cpsat_warm,makespan,0.04170545563767575,0.010136548697436363,112
cpsat_cold,makespan,0.04974583781659288,0.015500849627856968,112
