method,n,mean_pi,median_pi,std_pi,iqr_pi,mean_final_gap,median_final_gap,mean_bootstrap_time_ms,median_bootstrap_time_ms,mean_moved_ops_frac,optimality_proof_rate,feasibility_failure_rate,n_all,n_errors
boot_cold,112,0.03381295700617825,0.0356566767489538,0.017904211401108185,0.0268815564765374,0.014301990950360123,0.0064045845809479005,0.0,0.0,0.8619767141689453,0.0,0.0,112,0
boot_warm,112,0.03395008302467063,0.035155026603457054,0.019240411709581535,0.026131116179520877,0.01420184288876068,0.00834532622835335,0.0,0.0,0.9065289175873043,0.0,0.0,112,0
cpsat_warm,112,0.04170545563767575,0.03566938992199115,0.028742248599572282,0.04499431837368517,0.010136548697436363,0.0020844240624436,0.0,0.0,0.7903754550530566,0.0,0.0,112,0
cpsat_cold,112,0.04974583781659288,0.04781210242045645,0.01871905341952327,0.02493889186099635,0.015500849627856968,0.00681699350731,0.0,0.0,0.9573453178060682,0.0,0.0,112,0
