method,n_common,pi_win,pi_tie,pi_loss,final_gap_win,final_gap_tie,final_gap_loss,stability_win,stability_tie,stability_loss,sign_test_p,wilcoxon_p,mean_pi_improvement,ci95_lo,ci95_hi,sign_test_p_holm
boot_cold,112,94,0,18,20,73,19,39,38,19,1.3432499592767578e-13,1.5702092668512968e-14,0.015932880810414624,0.012643738302964164,0.019360091580604713,4.0297498778302734e-13
boot_warm,112,73,0,39,53,10,49,49,3,44,0.0016946822547182485,5.490257947760668e-08,0.015795754791922245,0.011221656182149509,0.020597272573853933,0.003389364509436497
cpsat_warm,112,70,0,42,59,13,40,48,5,43,0.010409209767128986,0.010626338367268518,0.008040382178917132,0.0019497195117358509,0.01467277731176876,0.010409209767128986
