method,stream_step,mean_pi,mean_final_gap,n
local_branching_prev,8,0.26450838984605063,0.17986304157429214,45
repair_only,8,1.4434088920243726,1.4434314709838278,45
boot_cold,9,0.02795298000592612,0.008048565586446895,45
cpsat_cold,9,0.03648868579783869,0.009450971533888446,45
boot_warm,9,0.04175520644660661,0.016136072777362634,45
cpsat_warm,9,0.04921619162634108,0.011873958268495882,45
lns_prev_solution,9,0.06082051616687841,0.03273391927075481,45
dispatch_mwkr,9,0.15708364599865962,0.15678899812134722,45
fix_and_optimize_50,9,0.1587243689183235,0.15613296430983195,45
dispatch_spt,9,0.2382551692788763,0.2380141731683649,45
local_branching_prev,9,0.24842762472142388,0.1778368572457747,45
repair_only,9,1.570879354287467,1.570901104861117,45
boot_cold,10,0.028129150466505454,0.009575763697461295,45
cpsat_cold,10,0.04056305115272858,0.01118649898789783,45
boot_warm,10,0.040844809830318914,0.013646408214832925,45
cpsat_warm,10,0.056607953165432955,0.016647655204388143,45
lns_prev_solution,10,0.06322075688975096,0.03294387480670971,45
dispatch_mwkr,10,0.15502403336243556,0.1547135740332446,45
fix_and_optimize_50,10,0.16140118980698884,0.15877468937576464,45
dispatch_spt,10,0.22770867353452734,0.22744973535652646,45
local_branching_prev,10,0.27084129955737113,0.191373750503487,45
repair_only,10,1.6800341855518925,1.680060847293245,45
