method,mean_pi,median_pi,mean_final_gap,proven_optimal_rate,n,domain
cpsat_cold,0.00047668055662851,0.00041615214246055,0.0,0.0,30,jssp
cplex_cold,0.0034423205439965995,0.00276518554665445,0.0,0.5333333333333333,30,jssp
gurobi_cold,0.0042169684946831935,0.00326730636165085,0.0,0.8666666666666667,30,jssp
cplex_cold,0.0004934746883808066,0.0004961283670820501,2.224662127809789e-05,0.9666666666666667,30,knapsack
gurobi_cold,0.00299173508465263,0.00012747232802344998,3.7874947516128773e-06,1.0,30,knapsack
cpsat_cold,0.019816862040069636,0.0172401827579337,4.704379895762891e-10,0.8333333333333334,30,knapsack
