domain,solver,n,cold_mean_pi,boot_mean_pi,pi_win,pi_tie,pi_loss,final_win,final_tie,final_loss,sign_test_p,wilcoxon_p,mean_pi_improvement,ci95_lo,ci95_hi,sign_test_p_holm
jssp,cpsat,30,0.00047668055662851,0.0002198141299942645,24,0,6,0,30,0,0.001430906355381012,8.326023817062378e-07,0.0002568664266342455,0.00018897657446694462,0.0003210557557236592,0.001430906355381012
jssp,gurobi,30,0.0042169684946831935,0.00232914905218726,28,0,2,0,30,0,8.67992639541626e-07,1.862645149230957e-08,0.0018878194424959338,0.001427886283272316,0.002361856712827715,2.603977918624878e-06
jssp,cplex,30,0.0034423205439966004,0.001648652112810132,25,0,5,0,30,0,0.00032491423189640045,5.718320608139038e-07,0.001793668431186468,0.0012771094308114497,0.00228868620546102,0.0006498284637928009
knapsack,cpsat,30,0.01981686204006964,0.004347183831353887,29,0,1,0,30,0,5.774199962615967e-08,9.313225746154785e-09,0.015469678208715747,0.012121857800523392,0.01865240923453676,1.1548399925231934e-07
knapsack,gurobi,30,0.0029917350846526305,7.212506650667833e-05,30,0,0,0,30,0,1.862645149230957e-09,1.862645149230957e-09,0.0029196100181459513,6.437557468577083e-05,0.008596568417750855,5.587935447692871e-09
knapsack,cplex,30,0.0004934746883808067,0.0001509725899900759,29,0,1,0,30,0,5.774199962615967e-08,9.313225746154785e-09,0.0003425020983907307,0.0002756129256890503,0.0003984760866545299,1.1548399925231934e-07
