method,n_common,pi_win,pi_tie,pi_loss,final_gap_win,final_gap_tie,final_gap_loss,stability_win,stability_tie,stability_loss,sign_test_p,wilcoxon_p,mean_pi_improvement,ci95_lo,ci95_hi,sign_test_p_holm
cpsat_warm,560,483,0,77,362,77,121,276,21,183,7.372276740474758e-73,1.0341426123256399e-61,0.026130835046624987,0.02358114406329434,0.028552534126871924,1.4744553480949516e-72
boot_warm,560,473,0,87,314,82,164,253,26,201,3.2899628758109103e-65,2.4466138554142855e-78,0.025068650579354857,0.02335798939699458,0.02680671044714341,3.2899628758109103e-65
boot_cold,560,494,0,66,115,400,45,145,274,61,4.992288111652249e-82,2.2611423483936616e-84,0.017973436747669044,0.016591700209647422,0.019325140492474014,1.4976864334956747e-81
