method,severity,mean_pi,mean_final_gap,n
cpsat_warm,medium,0.021841700287852376,0.006076494344029885,560
boot_warm,medium,0.02290388475512251,0.009610206032907617,560
boot_cold,medium,0.02999909858680832,0.01563665150767233,560
cpsat_cold,medium,0.04797253533447736,0.01758926284919987,560
