seed,method,instance,delta_kind,objective,best_known,final_gap,primal_integral,rounds,improving_rounds,initial_objective
6,cpsat_cold,0,base,689,689,0.0,0.012657578448325338,0,0,
6,cpsat_cold,1,arrival,714,714,0.0,0.01596286057301615,0,0,
6,cpsat_cold,2,duration_jitter,716,716,0.0,0.017279091448168325,0,0,
6,cpsat_cold,3,outage,735,735,0.0,0.016115727762578427,0,0,
6,cpsat_cold,4,outage,730,730,0.0,0.019504101412484025,0,0,
6,boot_cold,0,base,689,689,0.0,0.012684559560143823,0,0,
6,boot_cold,1,arrival,714,714,0.0,0.01491046615113036,0,0,859.0
6,boot_cold,2,duration_jitter,716,716,0.0,0.015744916535661926,0,0,780.0
6,boot_cold,3,outage,735,735,0.0,0.014828861238360474,0,0,789.0
6,boot_cold,4,outage,730,730,0.0,0.0177668077791427,0,0,782.0
7,cpsat_cold,0,base,654,654,0.0,0.029271577899728746,0,0,
7,cpsat_cold,1,cancellation,653,652,0.0015337423312883436,0.01708068222247072,0,0,
7,cpsat_cold,2,outage,661,661,0.0,0.008677394010217117,0,0,
7,cpsat_cold,3,arrival,672,672,0.0,0.01859630685330125,0,0,
7,cpsat_cold,4,arrival,675,675,0.0,0.03827760483197766,0,0,
7,boot_cold,0,base,654,654,0.0,0.028339337191971865,0,0,
7,boot_cold,1,cancellation,652,652,0.0,1.0840300819836558e-05,0,0,652.0
7,boot_cold,2,outage,661,661,0.0,0.007787538974763583,0,0,743.0
7,boot_cold,3,arrival,672,672,0.0,0.01695886211950676,0,0,780.0
7,boot_cold,4,arrival,675,675,0.0,0.03606747840030152,0,0,856.0
