method,instance,delta_kind,num_ops,objective,best_known,final_gap,primal_integral,rounds
fixed_delta_40,6,cancellation,210,727,717,0.01394700139470014,0.019724064545760794,70
fixed_delta_40,7,arrival,225,745,745,0.0,0.020786135242579978,0
fixed_delta_40,8,cancellation,210,720,720,0.0,0.005519988100010475,0
fixed_delta_40,9,arrival,225,766,766,0.0,0.009527667166917329,0
fixed_delta_40,10,outage,225,766,766,0.0,0.014660274848251827,0
fixed_delta_40,11,outage,225,766,766,0.0,0.010367422206313641,0
fixed_delta_40,12,cancellation,210,728,728,0.0,0.006427916782642848,0
fixed_random_40,0,base,225,699,695,0.0057553956834532375,0.03622252409527305,63
fixed_random_40,1,duration_jitter,225,719,699,0.02861230329041488,0.039421743284323005,63
fixed_random_40,2,arrival,240,719,705,0.019858156028368795,0.053139760333038244,49
fixed_random_40,3,cancellation,225,706,700,0.008571428571428572,0.02103730738363811,61
fixed_random_40,4,duration_jitter,225,724,712,0.016853932584269662,0.0547493482174248,58
fixed_random_40,5,outage,225,735,727,0.011004126547455296,0.03248358405861885,62
fixed_random_40,6,cancellation,210,723,717,0.008368200836820083,0.016572764779605363,74
fixed_random_40,7,arrival,225,745,745,0.0,0.02119096064094326,0
fixed_random_40,8,cancellation,210,720,720,0.0,0.007302927032433221,0
fixed_random_40,9,arrival,225,766,766,0.0,0.008455742946405699,0
fixed_random_40,10,outage,225,766,766,0.0,0.0038350863217627867,0
fixed_random_40,11,outage,225,766,766,0.0,0.00712093820909553,0
fixed_random_40,12,cancellation,210,728,728,0.0,0.00540606313058291,0
fixed_critical_40,0,base,225,700,695,0.007194244604316547,0.03633073534543054,61
fixed_critical_40,1,duration_jitter,225,721,699,0.031473533619456366,0.06987311815608079,59
fixed_critical_40,2,arrival,240,724,705,0.02695035460992908,0.06911851917515699,36
fixed_critical_40,3,cancellation,225,704,700,0.005714285714285714,0.017929840336624432,59
fixed_critical_40,4,duration_jitter,225,712,712,0.0,0.04266734558062463,57
fixed_critical_40,5,outage,225,752,727,0.0343878954607978,0.05453580870956663,60
fixed_critical_40,6,cancellation,210,721,717,0.005578800557880056,0.017354557815155127,72
fixed_critical_40,7,arrival,225,745,745,0.0,0.012520056265787588,0
fixed_critical_40,8,cancellation,210,720,720,0.0,0.002592424045223096,0
fixed_critical_40,9,arrival,225,766,766,0.0,0.00914229262744377,0
fixed_critical_40,10,outage,225,766,766,0.0,0.001070248003816232,0
fixed_critical_40,11,outage,225,766,766,0.0,0.013213500222956429,0
fixed_critical_40,12,cancellation,210,729,728,0.0013736263736263737,0.011781571636918793,71
fixed_machine_40,0,base,225,700,695,0.007194244604316547,0.036480579134516536,55
fixed_machine_40,1,duration_jitter,225,731,699,0.045779685264663805,0.06029495657735588,51
fixed_machine_40,2,arrival,240,737,705,0.04539007092198582,0.06036960188589628,45
fixed_machine_40,3,cancellation,225,710,700,0.014285714285714285,0.03094695174447511,54
fixed_machine_40,4,duration_jitter,225,732,712,0.028089887640449437,0.05573229773353995,52
fixed_machine_40,5,outage,225,752,727,0.0343878954607978,0.04888935370879241,52
fixed_machine_40,6,cancellation,210,727,717,0.01394700139470014,0.021637442212600867,61
fixed_machine_40,7,arrival,225,745,745,0.0,0.010855118781152402,0
fixed_machine_40,8,cancellation,210,720,720,0.0,0.005358985832543923,0
fixed_machine_40,9,arrival,225,766,766,0.0,0.01205980311047639,0
fixed_machine_40,10,outage,225,766,766,0.0,0.0010637679020874201,0
fixed_machine_40,11,outage,225,766,766,0.0,0.018892417113067505,0
fixed_machine_40,12,cancellation,210,728,728,0.0,0.015895623732617273,0
round_robin_40,0,base,225,699,695,0.0057553956834532375,0.03637134390510451,62
round_robin_40,1,duration_jitter,225,721,699,0.031473533619456366,0.06414889447245803,58
round_robin_40,2,arrival,240,742,705,0.0524822695035461,0.07439818217960704,32
round_robin_40,3,cancellation,225,709,700,0.012857142857142857,0.028477095543236436,58
round_robin_40,4,duration_jitter,225,729,712,0.023876404494382022,0.07354767438913096,39
round_robin_40,5,outage,225,740,727,0.017881705639614855,0.0461264254030979,60
round_robin_40,6,cancellation,210,723,717,0.008368200836820083,0.017343893477523045,70
round_robin_40,7,arrival,225,745,745,0.0,0.027870746236177302,0
round_robin_40,8,cancellation,210,720,720,0.0,0.0052547384113091145,0
round_robin_40,9,arrival,225,766,766,0.0,0.008705822789148544,0
round_robin_40,10,outage,225,766,766,0.0,0.0010626531002344564,0
round_robin_40,11,outage,225,766,766,0.0,0.00865678453117952,0
round_robin_40,12,cancellation,210,728,728,0.0,0.004177224625951507,0
oracle,0,base,225,699,695,0.0057553956834532375,0.03603691850871385,69
oracle,1,duration_jitter,225,699,699,0.0,0.04091530960609967,59
oracle,2,arrival,240,705,705,0.0,0.04000022510188824,58
oracle,3,cancellation,225,700,700,0.0,0.006945864042267202,65
oracle,4,duration_jitter,225,730,712,0.025280898876404494,0.04637593756902542,66
oracle,5,outage,225,727,727,0.0,0.046871286270659764,65
oracle,6,cancellation,210,718,717,0.001394700139470014,0.007635814859263913,81
oracle,7,arrival,225,745,745,0.0,0.027621872777649787,0
oracle,8,cancellation,210,720,720,0.0,0.009339737518987225,0
oracle,9,arrival,225,766,766,0.0,0.010639427358316661,0
oracle,10,outage,225,766,766,0.0,0.0010553269006777556,0
oracle,11,outage,225,766,766,0.0,0.017353153483304292,0
oracle,12,cancellation,210,728,728,0.0,0.00512975404496931,0
