domain,experiment_family,benchmark_name,instance_size,base_seed,stream_seed,method,bootstrap_policy,objective,budget_s,workers,stream_step,delta_kind,severity,status,error_message,objective_value,best_known,final_gap,primal_integral,optimality_proved,best_bound,solver_status,total_wall_time_s,bootstrap_time_ms,solver_time_s,time_to_first_feasible_s,time_to_10pct_gap_s,time_to_5pct_gap_s,time_to_1pct_gap_s,has_previous_solution,bootstrap_objective,bootstrap_gap,bootstrap_feasible,num_common_ops,num_moved_ops,fraction_moved_ops,mean_abs_start_shift,median_abs_start_shift,max_abs_start_shift,machine_order_distance,frozen_violation_count,solution_feasible,validation_error,ortools_version,python_version,git_commit,hostname,timestamp_utc
jssp,paper_main,,10x10,107,107,cpsat_warm,append,makespan,8,1,0,base,medium,ok,,436,436,0.0,0.0014754387597216204,False,,FEASIBLE,0.4096777300001122,0.0,,0.005030174012063071,0.021000931010348722,0.03416132502024993,0.13498586401692592,False,,,,,,,,,,,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_warm,append,makespan,8,1,1,cancellation,medium,ok,,414,414,0.0,0.0008800001971289074,False,,FEASIBLE,0.08038766699610278,0.0,,0.00470968201989308,0.00470968201989308,0.030590937996748835,0.0674669910222292,True,,,,90.0,85.0,0.9444444444444444,37.44444444444444,29.0,142.0,45.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_warm,append,makespan,8,1,2,arrival,medium,ok,,436,436,0.0,0.0022576479064609725,False,,FEASIBLE,0.5959113720164169,0.0,,0.005077859997982159,0.030649490014184266,0.041905713005689904,0.18999819800956175,True,,,,90.0,83.0,0.9222222222222223,35.58888888888889,22.0,136.0,44.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_warm,append,makespan,8,1,3,cancellation,medium,ok,,434,434,0.0,0.0005880617640211358,False,,FEASIBLE,0.11232521702186204,0.0,,0.004511589999310672,0.004511589999310672,0.004511589999310672,0.004511589999310672,True,,,,90.0,55.0,0.6111111111111112,7.844444444444444,5.0,62.0,5.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_warm,append,makespan,8,1,4,duration_jitter,medium,ok,,441,441,0.0,0.0032057746705292122,False,,FEASIBLE,0.32782568901893683,0.0,,0.004791674000443891,0.021898632985539734,0.2014157210069243,0.30103170199436136,True,,,,90.0,76.0,0.8444444444444444,16.5,12.0,112.0,20.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_warm,append,makespan,8,1,5,outage,medium,ok,,492,492,0.0,0.00087397414644351,False,,FEASIBLE,0.0429408919881098,0.0,,0.004625531000783667,0.01181775302393362,0.020262081001419574,0.037444859015522525,True,,,,90.0,83.0,0.9222222222222223,34.077777777777776,28.0,108.0,29.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_warm,append,makespan,8,1,6,duration_jitter,medium,ok,,490,490,0.0,0.001208230694524269,False,,FEASIBLE,0.05787813899223693,0.0,,0.004639507009414956,0.017886271991301328,0.05528072698507458,0.056200105987954885,True,,,,90.0,68.0,0.7555555555555555,25.6,19.5,119.0,30.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_warm,append,makespan,8,1,7,cancellation,medium,ok,,480,480,0.0,0.0005130206585211757,False,,FEASIBLE,0.008710360998520628,0.0,,0.004030320997117087,0.004030320997117087,0.004030320997117087,0.007574846007628366,True,,,,80.0,63.0,0.7875,35.225,17.0,155.0,38.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_warm,append,makespan,8,1,8,arrival,medium,ok,,482,482,0.0,0.0008283603804243832,False,,FEASIBLE,0.020767660986166447,0.0,,0.004247595992637798,0.01414711499819532,0.016663315007463098,0.017849647003458813,True,,,,80.0,56.0,0.7,34.4375,12.0,190.0,35.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_warm,append,makespan,8,1,9,cancellation,medium,ok,,482,482,0.0,0.0005098946239741053,False,,FEASIBLE,0.00545618002070114,0.0,,0.004079156991792843,0.004079156991792843,0.004079156991792843,0.004079156991792843,True,,,,80.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_warm,append,makespan,8,1,10,arrival,medium,ok,,482,482,0.0,0.0009068148997112339,False,,FEASIBLE,0.039940299990121275,0.0,,0.004524666001088917,0.014933961007045582,0.021452982997288927,0.03637483800412156,True,,,,80.0,54.0,0.675,39.0,35.0,205.0,34.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,boot_cold,append,makespan,8,1,0,base,medium,ok,,436,436,0.0,0.0016372499147426992,False,,FEASIBLE,0.41665600799024105,0.0,,0.006135828967671841,0.021497167967027053,0.03505449497606605,0.140762785973493,False,,,,,,,,,,,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,boot_cold,append,makespan,8,1,1,cancellation,medium,ok,,414,414,0.0,0.0005682588349276302,False,,FEASIBLE,0.11246797000057995,0.0,,9.037699783220887e-05,9.037699783220887e-05,0.05874423301429488,0.10192467499291524,True,436.0,0.05314009661835749,,90.0,85.0,0.9444444444444444,36.56666666666667,28.0,142.0,48.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,boot_cold,append,makespan,8,1,2,arrival,medium,ok,,436,436,0.0,0.003155095638883038,False,,FEASIBLE,0.5730643139977474,0.0,,7.025699596852064e-05,0.05871151099563576,0.2635433729737997,0.31781756997224875,True,686.0,0.573394495412844,,90.0,80.0,0.8888888888888888,27.666666666666668,20.0,138.0,40.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,boot_cold,append,makespan,8,1,3,cancellation,medium,ok,,434,434,0.0,8.648250513942912e-06,False,,FEASIBLE,0.1319401619839482,0.0,,6.91860041115433e-05,6.91860041115433e-05,6.91860041115433e-05,6.91860041115433e-05,True,434.0,0.0,,90.0,71.0,0.7888888888888889,8.377777777777778,4.0,61.0,0.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,boot_cold,append,makespan,8,1,4,duration_jitter,medium,ok,,441,441,0.0,9.107461708547418e-05,False,,FEASIBLE,0.20130243999301456,0.0,,6.388401379808784e-05,6.388401379808784e-05,6.388401379808784e-05,6.388401379808784e-05,True,443.0,0.0045351473922902496,,90.0,74.0,0.8222222222222222,14.666666666666666,8.0,85.0,19.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
