method,budget_s,mean_pi,mean_final_gap,n
boot_warm,8,0.023780926321862416,0.008468069970394749,140
cpsat_warm,8,0.031265187927875325,0.009193326708903125,140
boot_cold,8,0.04063600841533433,0.024013048187634937,140
cpsat_cold,8,0.07010764995838198,0.02774717059986084,140
