method,n_common,pi_win,pi_tie,pi_loss,final_gap_win,final_gap_tie,final_gap_loss,stability_win,stability_tie,stability_loss,sign_test_p,wilcoxon_p,mean_pi_improvement,ci95_lo,ci95_hi,sign_test_p_holm
boot_warm,140,123,0,17,105,12,23,75,5,40,5.173180589404356e-21,1.819609938264515e-22,0.04632672363651955,0.041075366881796076,0.05132216975962009,1.5519541768213067e-20
cpsat_warm,140,114,0,26,97,14,29,79,4,37,2.4239447396778808e-14,1.6840432965306834e-17,0.03884246203050665,0.03184318437933264,0.04527745959021723,2.4239447396778808e-14
boot_cold,140,121,0,19,51,56,33,66,29,25,2.319120802043693e-19,1.9824857070393924e-21,0.029471641543047638,0.025221873881535746,0.03381880302815593,4.638241604087386e-19
