method,n,mean_pi,median_pi,std_pi,iqr_pi,mean_final_gap,median_final_gap,mean_bootstrap_time_ms,median_bootstrap_time_ms,mean_moved_ops_frac,optimality_proof_rate,feasibility_failure_rate,n_all,n_errors
boot_warm,140,0.023780926321862416,0.02165079836806955,0.01771222267661963,0.026332332255375998,0.008468069970394749,0.0,0.0,0.0,0.799092345783875,0.0,0.0,140,0
cpsat_warm,140,0.031265187927875325,0.0249525195696119,0.02877081145781613,0.034826212246744474,0.009193326708903125,0.0010159164836147502,0.0,0.0,0.6267007837771273,0.0,0.0,140,0
boot_cold,140,0.04063600841533434,0.0413700000239927,0.0177519745088774,0.02774550293883527,0.024013048187634937,0.0208810109266632,0.0,0.0,0.6976655357618109,0.0,0.0,140,0
cpsat_cold,140,0.07010764995838199,0.06786406638347986,0.02231782541757941,0.03156802829023621,0.027747170599860843,0.0267950963222416,0.0,0.0,0.9614125356293087,0.0,0.0,140,0
