method,n_common,pi_win,pi_tie,pi_loss,final_gap_win,final_gap_tie,final_gap_loss,stability_win,stability_tie,stability_loss,sign_test_p,wilcoxon_p,mean_pi_improvement,ci95_lo,ci95_hi,sign_test_p_holm
boot_warm,140,117,0,23,78,18,44,57,29,34,2.3310651653913926e-16,2.8321624326156534e-20,0.023056217112456805,0.019704584572670946,0.02650223911839135,4.662130330782785e-16
boot_cold,140,125,0,15,28,94,18,40,68,12,8.894877270372545e-23,3.4275176614141223e-22,0.016588994883746128,0.01424859297161932,0.01904635950936061,2.6684631811117637e-22
cpsat_warm,140,102,0,38,72,17,51,59,15,46,6.0187717660317e-08,4.167517635419071e-11,0.01407340863965312,0.008454817330085664,0.018928887191947245,6.0187717660317e-08
