method,bootstrap_policy,mean_pi,mean_final_gap,n
boot_warm,append,0.020477707299005186,0.00852692219900077,140
boot_cold,append,0.026944929527715863,0.013321632791846037,140
cpsat_warm,append,0.029460515771808873,0.011202689424687688,140
cpsat_cold,append,0.04353392441146199,0.015423006358065492,140
