method,n,mean_pi,median_pi,std_pi,iqr_pi,mean_final_gap,median_final_gap,mean_bootstrap_time_ms,median_bootstrap_time_ms,mean_moved_ops_frac,optimality_proof_rate,feasibility_failure_rate,n_all,n_errors
boot_warm,140,0.020477707299005186,0.01841846583982,0.014358832083102013,0.018201535260420322,0.008526922199000772,0.00160710553814,0.0,0.0,0.9042254980213073,0.0,0.0,140,0
boot_cold,140,0.02694492952771586,0.02464518276182335,0.01630673607992083,0.023453904405661495,0.013321632791846037,0.0074960355662692,0.0,0.0,0.870108779828192,0.0,0.0,140,0
cpsat_warm,140,0.029460515771808873,0.02298490070106245,0.02686994146088389,0.023459476530661702,0.011202689424687688,0.00296836694865815,0.0,0.0,0.8881832989391675,0.0,0.0,140,0
cpsat_cold,140,0.04353392441146199,0.04258702373845685,0.017336723065502588,0.021918434187587123,0.015423006358065492,0.0104545033993091,0.0,0.0,0.9870806125553819,0.0,0.0,140,0
