seed,instance,delta_kind,method,value,initial_value,proven_optimal,best_known,final_gap,primal_integral
2,4,removal,gurobi_boot_cold,419624241,419207971.0,True,419625271,2.45457094980345e-06,5.1500084329766984e-05
2,4,removal,cplex_cold,419624030,,True,419625271,2.9574005327243505e-06,0.0004231886847557735
2,4,removal,cplex_boot_cold,419624030,419175762.0,True,419625271,2.9574005327243505e-06,6.628405170180247e-05
3,0,base,cpsat_cold,423673886,,True,423673886,0.0,0.015575829183859611
3,0,base,boot_cold,423673886,,True,423673886,0.0,0.015447099426728356
3,0,base,gurobi_cold,423673563,,True,423673886,7.623788264353872e-07,0.0001195322655247607
3,0,base,gurobi_boot_cold,423673563,,True,423673886,7.623788264353872e-07,0.00010610408256701784
3,0,base,cplex_cold,423672676,,True,423673886,2.8559702166774563e-06,0.0004106563806681655
3,0,base,cplex_boot_cold,423672676,,True,423673886,2.8559702166774563e-06,0.0004236018048542043
3,1,capacity,cpsat_cold,410940359,,True,410940359,0.0,0.015157271355964588
3,1,capacity,boot_cold,410940359,410526651.0,True,410940359,0.0,9.097343123464684e-05
3,1,capacity,gurobi_cold,410940094,,True,410940359,6.448624336749557e-07,0.0001233560990687264
3,1,capacity,gurobi_boot_cold,410940094,410526651.0,True,410940359,6.448624336749557e-07,6.720226673559723e-05
3,1,capacity,cplex_cold,410939089,,True,410940359,3.090472795347901e-06,0.0004020646063157149
3,1,capacity,cplex_boot_cold,410939089,410551626.0,True,410940359,3.090472795347901e-06,6.64206243467137e-05
3,2,value_jitter,cpsat_cold,411443406,,True,411443406,0.0,0.01563361446693682
3,2,value_jitter,boot_cold,411443406,410182909.0,True,411443406,0.0,0.0001020622750297781
3,2,value_jitter,gurobi_cold,411442963,,True,411443406,1.0766972894444685e-06,0.00012833986940907898
3,2,value_jitter,gurobi_boot_cold,411442963,410300968.0,True,411443406,1.0766972894444685e-06,4.805726159276569e-05
3,2,value_jitter,cplex_cold,411411456,,True,411443406,7.765345010778955e-05,0.0005151816744622206
3,2,value_jitter,cplex_boot_cold,411411456,410299963.0,True,411443406,7.765345010778955e-05,0.00012731288421288268
3,3,arrival,cpsat_cold,414985161,,True,414985161,0.0,0.017276623049343166
3,3,arrival,boot_cold,414985161,411443406.0,True,414985161,0.0,0.00020191895815253945
3,3,arrival,gurobi_cold,414975571,,True,414985161,2.3109260044119988e-05,0.00015010730202839016
3,3,arrival,gurobi_boot_cold,414975571,411442963.0,True,414985161,2.3109260044119988e-05,7.495359562353964e-05
3,3,arrival,cplex_cold,414966371,,True,414985161,4.527872744828098e-05,0.0004751330501432969
3,3,arrival,cplex_boot_cold,414966371,411411456.0,True,414985161,4.527872744828098e-05,9.623297294346731e-05
3,4,removal,cpsat_cold,409170292,,True,409170292,0.0,0.015421312237623117
3,4,removal,boot_cold,409170292,408362527.0,True,409170292,0.0,8.924321833913404e-05
3,4,removal,gurobi_cold,409168809,,True,409170292,3.6244078052470145e-06,0.00012215786119852882
3,4,removal,gurobi_boot_cold,409168809,408362527.0,True,409170292,3.6244078052470145e-06,5.687142306178029e-05
3,4,removal,cplex_cold,409136608,,True,409170292,8.232269218606907e-05,0.0005069939254763701
3,4,removal,cplex_boot_cold,409136608,408362527.0,True,409170292,8.232269218606907e-05,0.00012825181560208255
4,0,base,cpsat_cold,425135728,,False,425135734,1.4113139687288671e-08,0.03302290141510651
4,0,base,boot_cold,425135728,,False,425135734,1.4113139687288671e-08,0.03229448146836646
4,0,base,gurobi_cold,425135734,,True,425135734,0.0,0.00016260632651020685
4,0,base,gurobi_boot_cold,425135734,,True,425135734,0.0,0.00014421325015272527
4,0,base,cplex_cold,425127184,,True,425135734,2.0111224054386356e-05,0.000531168969856809
4,0,base,cplex_boot_cold,425127184,,True,425135734,2.0111224054386356e-05,0.0005105741916872559
4,1,arrival,cpsat_cold,432635737,,False,432635737,0.0,0.035541055988088655
4,1,arrival,boot_cold,432635737,425135728.0,False,432635737,0.0,0.000688206896110816
4,1,arrival,gurobi_cold,432635706,,True,432635737,7.165381254669676e-08,0.08505581000511833
4,1,arrival,gurobi_boot_cold,432635706,425135734.0,True,432635737,7.165381254669676e-08,7.214108016660722e-05
4,1,arrival,cplex_cold,432634639,,True,432635737,2.5379318121378403e-06,0.00050459647380309
4,1,arrival,cplex_boot_cold,432634639,425127184.0,True,432635737,2.5379318121378403e-06,5.8728913288815855e-05
4,2,removal,cpsat_cold,425135738,,True,425135738,0.0,0.032470785102499906
4,2,removal,boot_cold,425135738,425082933.0,True,425135738,0.0,7.002635039229514e-05
4,2,removal,gurobi_cold,425135728,,True,425135738,2.3521899257502554e-08,0.0005730859092518086
4,2,removal,gurobi_boot_cold,425135728,424135929.0,True,425135738,2.3521899257502554e-08,5.5966569346851504e-05
4,2,removal,cplex_cold,425135196,,True,425135738,1.2748869397566385e-06,0.0004844654279280586
